Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
8/5/2025,AXSM,AXSM,S,EDGX,105
8/6/2025,AXSM,AXSM,S,BATS,10
8/6/2025,AXSM,AXSM,S,CBOE,28
8/7/2025,AXSM,AXSM,S,BATS,11
8/7/2025,AXSM,AXSM,S,C2,5
8/7/2025,AXSM,AXSM,S,CBOE,79
8/7/2025,AXSM,AXSM,S,EDGX,2
8/8/2025,AXSM,AXSM,S,BATS,24
8/8/2025,AXSM,AXSM,S,C2,3
8/8/2025,AXSM,AXSM,S,CBOE,22
8/8/2025,AXSM,AXSM,S,EDGX,4
8/11/2025,AXSM,AXSM,S,BATS,2
8/11/2025,AXSM,AXSM,S,C2,1
8/11/2025,AXSM,AXSM,S,CBOE,5
8/11/2025,AXSM,AXSM,S,EDGX,6
8/12/2025,AXSM,AXSM,S,BATS,36
8/12/2025,AXSM,AXSM,S,CBOE,59
8/12/2025,AXSM,AXSM,S,EDGX,170
8/13/2025,AXSM,AXSM,S,BATS,13
8/13/2025,AXSM,AXSM,S,C2,12
8/13/2025,AXSM,AXSM,S,CBOE,11
8/13/2025,AXSM,AXSM,S,EDGX,42
8/14/2025,AXSM,AXSM,S,BATS,1
8/14/2025,AXSM,AXSM,S,C2,5
8/14/2025,AXSM,AXSM,S,CBOE,93
8/14/2025,AXSM,AXSM,S,EDGX,16
8/15/2025,AXSM,AXSM,S,BATS,93
8/15/2025,AXSM,AXSM,S,C2,15
8/15/2025,AXSM,AXSM,S,CBOE,10
8/15/2025,AXSM,AXSM,S,EDGX,6
8/18/2025,AXSM,AXSM,S,BATS,22
8/18/2025,AXSM,AXSM,S,C2,33
8/18/2025,AXSM,AXSM,S,CBOE,247
8/18/2025,AXSM,AXSM,S,EDGX,69
8/19/2025,AXSM,AXSM,S,BATS,22
8/19/2025,AXSM,AXSM,S,C2,4
8/19/2025,AXSM,AXSM,S,CBOE,13
8/19/2025,AXSM,AXSM,S,EDGX,93
8/20/2025,AXSM,AXSM,S,BATS,29
8/20/2025,AXSM,AXSM,S,C2,24
8/20/2025,AXSM,AXSM,S,CBOE,71
8/20/2025,AXSM,AXSM,S,EDGX,79
8/21/2025,AXSM,AXSM,S,BATS,19
8/21/2025,AXSM,AXSM,S,C2,18
8/21/2025,AXSM,AXSM,S,CBOE,65
8/21/2025,AXSM,AXSM,S,EDGX,26
8/22/2025,AXSM,AXSM,S,BATS,81
8/22/2025,AXSM,AXSM,S,C2,11
8/22/2025,AXSM,AXSM,S,CBOE,86
8/22/2025,AXSM,AXSM,S,EDGX,160
8/25/2025,AXSM,AXSM,S,BATS,32
8/25/2025,AXSM,AXSM,S,C2,16
8/25/2025,AXSM,AXSM,S,CBOE,149
8/25/2025,AXSM,AXSM,S,EDGX,55
8/26/2025,AXSM,AXSM,S,BATS,62
8/26/2025,AXSM,AXSM,S,C2,3
8/26/2025,AXSM,AXSM,S,CBOE,73
8/26/2025,AXSM,AXSM,S,EDGX,114
8/27/2025,AXSM,AXSM,S,C2,10
8/27/2025,AXSM,AXSM,S,CBOE,32
8/27/2025,AXSM,AXSM,S,EDGX,235
8/28/2025,AXSM,AXSM,S,BATS,233
8/28/2025,AXSM,AXSM,S,C2,6
8/28/2025,AXSM,AXSM,S,CBOE,108
8/28/2025,AXSM,AXSM,S,EDGX,98
8/29/2025,AXSM,AXSM,S,BATS,10
8/29/2025,AXSM,AXSM,S,C2,2
8/29/2025,AXSM,AXSM,S,CBOE,25
8/29/2025,AXSM,AXSM,S,EDGX,5
9/2/2025,AXSM,AXSM,S,BATS,18
9/2/2025,AXSM,AXSM,S,C2,2
